Table 6 12: Cost estimate of domestic water supply and water source protection-related proposals,,,,,,
GND,Scheme Name,Problem to be addressed,Coordinates,,Recommended remedial actions,Estimated Cost
951,Ratemulla anicut,Desilting of anicut & filter need,7.240911,80.64828,1. Desilt the anicut    2. Construct a shallow well with a surrounding boulder-packed sand filter.,"275,000"
951,Spring at  'Akkara 18',Reservation and filtering need,7.235478,80.646186,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of riparian plants within water holes. Covered area 150 m2.","68,100"
951,Hanthana Waththa Kithulmulla Spring1,Reservation and boundary  need,7.226393,80.646666,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2.","128,800"
951,Hanthana Waththa Kithulmulla Spring2,Reservation and boundary  need,7.22808,80.645948,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass and riparian plants. Covered area 100 m2.","64,400"
951,Hanthana Waththa Kithulmulla Spring3,Reservation and boundary  need,7.228542,80.645312,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and riparian plants. Covered area 200 m2.","128,800"
951,Hanthana Waththa Kithulmulla Spring4,Reservation and boundary  need,7.226283,80.649494,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and riparian plants. Covered area 100 m2.","64,400"
951,Uragala water spring1,Reservation and boundary  need,7.226471,80.551104,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and riparian plants. Covered area 200 m2.","128,800"
951, Uragala water spring2,Reservation and boundary  need,7.231603,80.650613,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and riparian plants. Covered area 100 m2.","64,400"
951,Soraganaya  spring,Reservation and boundary  need,7.233382,80.653635,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and riparian plants. Covered area 200 m2.","128,800"
951,Kahatagaldeniya  spring,Reservation and boundary  need,7.244569,80.650149,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 100 m2.","64,400"
951,Ratemulla gammeda spring,Reservation and boundary  need,7.248223,80.648342,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2.","128,800"
